DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,ds,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,AIRPORT_DEST,CITY_DEST,STATE_DEST,COUNTRY_DEST,LATITUDE_DEST,LONGITUDE_DEST
4,EV,4759,N14998,IAD,TYS,1705,1701.0,-4.0,15.0,1716.0,95,91.0,72.0,419,1828.0,4.0,1840,1832.0,-8.0,0,0,,,,,,,2015-01-01 00:00:00,Washington Dulles International Airport,Chantilly,VA,USA,38.94453,-77.45581,McGhee Tyson Airport,Knoxville,TN,USA,35.812490000000004,-83.99286
4,EV,5542,N859AS,AGS,ATL,1705,1700.0,-5.0,9.0,1709.0,60,44.0,30.0,143,1739.0,5.0,1805,1744.0,-21.0,0,0,,,,,,,2015-01-01 00:00:00,Augusta Regional AirportÂ (Bush Field),Augusta,GA,USA,33.36996,-81.9645,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.640440000000005,-84.42694
4,EV,5741,N833AS,IAD,PVD,1705,1658.0,-7.0,18.0,1716.0,81,75.0,54.0,372,1810.0,3.0,1826,1813.0,-13.0,0,0,,,,,,,2015-01-01 00:00:00,Washington Dulles International Airport,Chantilly,VA,USA,38.94453,-77.45581,Theodore Francis Green State Airport,Providence,RI,USA,41.724,-71.42822
4,F9,1111,N208FR,MCO,CLE,1705,1704.0,-1.0,12.0,1716.0,145,136.0,118.0,895,1914.0,6.0,1930,1920.0,-10.0,0,0,,,,,,,2015-01-01 00:00:00,Orlando International Airport,Orlando,FL,USA,28.428890000000003,-81.31603,Cleveland Hopkins International Airport,Cleveland,OH,USA,41.41089,-81.8494
4,F9,754,N924FR,PHX,DEN,1705,1722.0,17.0,10.0,1732.0,104,115.0,97.0,602,1909.0,8.0,1849,1917.0,28.0,0,0,,21.0,0.0,6.0,1.0,0.0,2015-01-01 00:00:00,Phoenix Sky Harbor International Airport,Phoenix,AZ,USA,33.43417,-112.00806000000001,Denver International Airport,Denver,CO,USA,39.85841,-104.667
4,HA,9,N389HA,LAX,HNL,1705,1702.0,-3.0,15.0,1717.0,350,368.0,339.0,2556,2056.0,14.0,2055,2110.0,15.0,0,0,,0.0,0.0,15.0,0.0,0.0,2015-01-01 00:00:00,Los Angeles International Airport,Los Angeles,CA,USA,33.94254,-118.40807,Honolulu International Airport,Honolulu,HI,USA,21.31869,-157.92241
4,MQ,2774,N918MQ,DFW,CLL,1705,1843.0,98.0,37.0,1920.0,53,88.0,47.0,164,2007.0,4.0,1758,2011.0,133.0,0,0,,35.0,0.0,28.0,70.0,0.0,2015-01-01 00:00:00,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372,Easterwood Airport,College Station,TX,USA,30.588590000000003,-96.36381999999999
4,MQ,2811,N636MQ,ORD,BUF,1705,1710.0,5.0,13.0,1723.0,88,78.0,62.0,473,1925.0,3.0,1933,1928.0,-5.0,0,0,,,,,,,2015-01-01 00:00:00,Chicago O'Hare International Airport,Chicago,IL,USA,41.9796,-87.90446,Buffalo Niagara International Airport,Buffalo,NY,USA,42.94052,-78.73217
4,HA,165,N492HA,OGG,HNL,1705,1716.0,11.0,7.0,1723.0,35,41.0,28.0,100,1751.0,6.0,1740,1757.0,17.0,0,0,,0.0,0.0,7.0,10.0,0.0,2015-01-01 00:00:00,Kahului Airport,Kahului,HI,USA,20.89865,-156.43046,Honolulu International Airport,Honolulu,HI,USA,21.31869,-157.92241
4,MQ,3046,N610MQ,DBQ,ORD,1705,1653.0,-12.0,5.0,1658.0,70,50.0,29.0,147,1727.0,16.0,1815,1743.0,-32.0,0,0,,,,,,,2015-01-01 00:00:00,Dubuque Regional Airport,Dubuque,IA,USA,42.40296,-90.70917,Chicago O'Hare International Airport,Chicago,IL,USA,41.9796,-87.90446
